id,word
1,wouldnt
2,wont
3,shouldnt
4,doesnt
5,not
6,didnt
7,havent
8,hasnt
9,dont
10,isnt
11,aint
12,cant
13,wasnt
14,werent
15,aint
16,nothing
17,end
18,why
19,idiot
20,no
21,closed
22,close
23,stop
24,stopped
25,out
26,fails
27,fail
28,failed
29,sortir
30,thru
31,through
32,closeorder
33,sold
34,sell
